Problem Category,Problem,User Context,Source
Accessibility,"Content is difficult to perceive visually due to low contrast, fixed or small text size.","Low Vision Users, Color Blind Users, Elderly","(Nour, 2022), (Alayed, 2025), (Naeem et al., 2022)"
Accessibility,Difficult and inefficient navigation for assistive technology users.,Screen Reader Users,"(Nour, 2022), (Alayed, 2025)"
Accessibility,Interface elements are not clearly identified or labeled for screen readers.,Screen Reader Users,"(Nour, 2022), (Alayed, 2025), (Nadela and Yulianti, 2022)"
Accessibility,Difficulty understanding basic interactions and gestures.,"Elderly, Screen Reader Users","(Barber et al., 2025), (Kurnia Ningrum et al., 2023)"
Accessibility,Usability issues with biometric (fingerprint) authentication.,Elderly,"(Barber et al., 2025)"
Accessibility,Difficult face verification process.,"Screen Reader Users, Low Vision Users","(Kurnia Ningrum et al., 2023)"
Accessibility,Existing digital banking applications have too many unnecessary images and cannot be read well by a screen reader.,Screen Reader Users,"(Nadela and Yulianti, 2022)"
Accessibility,Most inspected banking applications fail to meet crucial accessibility design considerations for users with low literacy.,Low Literacy Users,"(Melo et al., 2024)"
Accessibility,Voice-based interaction features are largely absent or not properly functional.,"Low Literacy Users, Low Vision Users, People with Motor Impairments","(Melo et al., 2024), (Naeem et al., 2022)"
Accessibility,Mobile banking applications are often too complex and do not support local languages.,"General, Elderly, Low Literacy Users","(Shridhar et al., 2025), (Naeem et al., 2022), (Wahab et al., 2021)"
Accessibility,Complex user interfaces (UI) and poor design pose challenges for the elderly.,Elderly,"(Saha and Chavan, 2025)"
Accessibility,"Users are confused by technical terms such as ""digital signature,"" ""verification,"" and ""authentication.""","General, Low Literacy Users","(Darwaish and Qadir, 2022), (Mohammed et al., 2023)"
Accessibility,"Textual interfaces are not easily understood, especially by elderly and low-literacy users.","Elderly, Low Literacy Users","(Wahab et al., 2021), (Ubam et al., 2021)"
Information Architecture & Navigation,Navigation dead ends.,Elderly,"(Isa et al., 2022)"
Performance & Reliability,"Concerns about application stability, such as software errors, system errors, and connectivity problems.",Elderly,"(Maguire, 2024)"
Performance & Reliability,"Slow performance, poor responsiveness, and large application size.",General,"(Nour, 2022), (Orehovački et al., 2022), (Naeem et al., 2022)"
